ACADEMIC_train_18_de	Give me back the authors who made contributions to the VLDB conference before 2002 after 1995.	return authors ;return #1 who have papers in the  VLDB conference ;return #2 before 2002 ;return #2 after 1995 ;return #2 in both #3 and #4	['select', 'filter', 'filter', 'filter', 'intersection']	train
ACADEMIC_train_180_de	Send me the paper after 2000 in the database with the most citations.	return paper ;return #1 after 2000 ;return #2 in Databases area ;return citations of  #3 ;return number of  #4 for each #3 ;return #3 where #5 is  highest	['select', 'filter', 'filter', 'project', 'group', 'superlative']	train
ACADEMIC_train_181_de	give me back the paper with the most quotes after 2000 in PVLDB.	return paper ;return #1 after 2000 ;return #2 in PVLDB ;return citations of  #3 ;return number of  #4 for each  #3 ;return #3 where  #5 is highest	['select', 'filter', 'filter', 'project', 'group', 'superlative']	train
ACADEMIC_train_182_de	Return the paper with the most quotes after 2000 to the VLDB conference.	return VLDB conference ;return #1 after 2000 ;return papers of #2 ;return citations of #3 ;return number of  #4 for each #3 ;return #3 where #5 is  highest	['select', 'filter', 'project', 'project', 'group', 'superlative']	train
ACADEMIC_train_183_de	Give me back the authors who have more than 10 articles in PVLDB.	return papers ;return #1 in PVLDB ;return authors of  #2 ;return number of  #2 for each  #3 ;return #3 where #4 is  more than 10	['select', 'filter', 'project', 'group', 'comparative']	train
ACADEMIC_train_184_de	Give me back the authors who have the most articles in PVLDB.	return authors ;return papers of  #1 ;return #2 in PVLDB ;return number of  #3 for each  #1 ;return #1 where #4 is  highest	['select', 'project', 'filter', 'group', 'superlative']	train
ACADEMIC_train_185_de	"Give me back the authors who have more than 10 articles with the keyword ""relational database""."	return papers ;return #1 containing keywords Relational Database ;return authors of  #2 ;return number of  #2 for each  #3 ;return #3 where  #4 is more than  10	['select', 'filter', 'project', 'group', 'comparative']	train
ACADEMIC_train_186_de	"Send me back the conferences that contain more than 60 articles with the keyword ""relational database""."	return conferences ;return papers of #1 ;return #2 that  contain the keyword Relational Database ;return number of #3 for each #1 ;return #1 where #4 is  more than  60	['select', 'project', 'filter', 'group', 'comparative']	train
ACADEMIC_train_187_de	"Send me back the magazines containing more than 60 articles with the keyword ""Relational Database""."	return journals ;return papers of #1 ;return keywords of #2 ;return #2 where #3 is  Relational Database ;return number of  #4 for each #1 ;return #1 where #5 is  higher than 60	['select', 'project', 'project', 'comparative', 'group', 'comparative']	train
ACADEMIC_train_188_de	Give me back the key words found in more than 100 articles from the VLDB conference.	return keywords ;return papers with  #1 ;return #2 in VLDB conference ;return number of  #3 for each #1 ;return #1 where #4 is  higher than 100	['select', 'project', 'filter', 'group', 'comparative']	train
ACADEMIC_train_189_de	Give me back the keywords found in more than 100 articles in PVLDB.	return keywords ;return papers with  #1 ;return #2 in PVLDB ;return number of  #3 for each #1 ;return #1 where #4 is  higher than 100	['select', 'project', 'filter', 'group', 'comparative']	train
ACADEMIC_train_19_de	Give me back the authors who contributed to the VLDB conference before 1995 or after 2002.	return papers ;return #1 from  VLDB conference ;return #2 before 1995 ;return #2 after 2002 ;return #3 ,  #4 ;return authors of  #5	['select', 'filter', 'filter', 'filter', 'union', 'project']	train
ACADEMIC_train_190_de	"Give me back the key words contained in more than 10 articles by ""H. V. Jagadish""."	return keywords ;return papers #1 are in ;return #2 by H. V. Jagadish ;return number of #3 for each #1 ;return #1 where #4 is  higher than 10	['select', 'project', 'filter', 'group', 'comparative']	train
ACADEMIC_train_191_de	Give me back the authors who have more than 10 articles in the VLDB conference.	return authors ;return number of  papers in the  VLDB conference ;return #1 where #2 is more than 10	['select', 'select', 'comparative']	train
ACADEMIC_train_192_de	Give me back the author who made the most contributions to the VLDB conference.	return conference ;return VLDB #1 ;return papers in #2 ;return authors of #3 ;return the number of #3 for each #4 ;return #4 where #5 is highest	['select', 'project', 'project', 'project', 'group', 'superlative']	train
ACADEMIC_train_193_de	Give me back the authors who have more articles on VLDB than ICDE.	return authors ;return VLDB papers ;return ICDE papers ;return the  number of  #2 for each  #1 ;return the  number of  #3 for each  #1 ;return #1 where #4 is  higher than #5	['select', 'select', 'select', 'group', 'group', 'comparative']	train
ACADEMIC_train_194_de	"Give me back the author of the ""University of Michigan"" whose articles contain more than 5000 quotes in total."	return authors ;return #1 in the  University of  Michigan ;return papers of  #2 ;return citations of  #3 ;return the  number of  #4 for each #2 ;return #2 where #5 is  more than 5000	['select', 'filter', 'project', 'project', 'group', 'comparative']	train
ACADEMIC_train_195_de	"Give me back the author of the ""University of Michigan"" in the ""Databases"" section, whose articles contain more than 5000 quotes in total."	return authors ;return #1 in the  University of Michigan ;return #2 in Databases areas ;return papers of #3 ;return citations of #4 ;return the  number of  #5 ;return #3 where #6 is  more than  5000	['select', 'filter', 'filter', 'project', 'project', 'aggregate', 'comparative']	train
ACADEMIC_train_2_de	"Send me the summary of ""Make database systems usable"" back."	return abstracts ;return #1 of  Making database systems usable	['select', 'filter']	train
ACADEMIC_train_20_de	give me back the area of PVLDB.	return PVLDB ;return the  area of  #1	['select', 'project']	train
ACADEMIC_train_21_de	Give me back the authors who have articles in PVLDB.	return papers ;return #1 in PVLDB ;return authors of  #2	['select', 'filter', 'project']	train
ACADEMIC_train_22_de	"give me back the organization ""H. V. Jagadish""."	return organizations ;return #1 where H. V. Jagadish is  in	['select', 'filter']	train
ACADEMIC_train_23_de	"Give me back the conferences that contain contributions from ""H. V. Jagadish""."	return papers ;return #1 by H. V. Jagadish ;return conferences of  #2	['select', 'filter', 'project']	train
ACADEMIC_train_24_de	"give me back the magazines containing articles by ""H. V. Jagadish""."	return papers ;return #1 by H. V. Jagadish ;return journals of  #2	['select', 'filter', 'project']	train
ACADEMIC_train_25_de	"Give me back the domain ""H. V. Jagadish"" focuses on."	return domain ;return #1 where H. V. Jagadish is  focused	['select', 'filter']	train
ACADEMIC_train_26_de	"Give me back the authors of ""Make database systems usable""."	return Making database systems usable ;return authors of  #1	['select', 'project']	train
ACADEMIC_train_27_de	"Send me back the conference where ""Make database systems usable"" was published."	return conference ;return #1 that  published Making database system usable	['select', 'filter']	train
ACADEMIC_train_28_de	"Send me the references of ""Make database systems usable"" back."	return references ;return #1 of  Making database systems usable	['select', 'filter']	train
ACADEMIC_train_29_de	"Give me back the quotes ""Make database systems usable""."	return citations ;return #1 of  Making database systems usable	['select', 'filter']	train
ACADEMIC_train_3_de	"Give me back the year in which ""database systems are made usable"""	return Making database systems usable ;return years of  #1	['select', 'project']	train
ACADEMIC_train_30_de	"give me back the papers from ""H. V. Jagadish""."	return the  papers ;return #1 by H. V. Jagadish	['select', 'filter']	train
ACADEMIC_train_31_de	Send me the contributions to the VLDB conference back.	return papers ;return #1 on  VLDB conference	['select', 'filter']	train
ACADEMIC_train_32_de	return the papers to me on PVLDB.	return papers on  PVLDB	['select']	train
ACADEMIC_train_33_de	give me the papers back on PVLDB after 2000.	return papers ;return #1 on  PVLDB ;return #2 from  after 2000	['select', 'filter', 'filter']	train
ACADEMIC_train_34_de	Send me the contributions to the VLDB conference after 2000.	return papers ;return #1 on  VLDB conference ;return #2 after 2000	['select', 'filter', 'filter']	train
ACADEMIC_train_35_de	"give me back the papers from ""H. V. Jagadish"" on PVLDB."	return papers ;return #1 by H. V. Jagadish ;return #2 on  PVLDB	['select', 'filter', 'filter']	train
ACADEMIC_train_36_de	"Send me the contributions of ""H. V. Jagadish"" to the VLDB conference."	return papers ;return #1 by H. V. Jagadish ;return #2 on  VLDB conference	['select', 'filter', 'filter']	train
ACADEMIC_train_37_de	"give me back the papers of ""H. V. Jagadish"" after 2000."	return papers ;return #1 by H. V. Jagadish ;return #2 after 2000	['select', 'filter', 'filter']	train
